complaint_id,institution_id,received_date,complainant_doc_type,product_category,channel,motivo_code,severity,description_text,description_language,complainant_age_range,complainant_district,submission_method,original_reference_id,resolution_status
COP-2026-0000001,SBS-005678,2026-04-23,DNI,TARJETA_CREDITO,WEB,COBRO_INDEBIDO,HIGH,Mi tarjeta de crédito reporta movimientos que yo no he realizado por un total de S/ 142.38. Reporté el caso por la web pero no he recibido respuesta de COOPAC_DEMO_002.,es,OVER_64,150102,CAJERO,,pendiente
COP-2026-0000002,SBS-005678,2026-03-24,CE,CREDITOS,APP_MOVIL,DEMORA_ATENCION,MEDIUM,El 2026-03-24 realicé un retiro por la app móvil de 47.50 soles y nunca recibí el dinero. COOPAC_DEMO_002 dice que la operación fue exitosa pero no es así.,es,45_54,070101,WEB,,pendiente
COP-2026-0000003,SBS-005678,2026-04-28,DNI,DEPOSITOS,WEB,COBRO_INDEBIDO,LOW,Se realizó un cargo no autorizado por S/ 300.93 en mi cuenta de depósitos el 2026-04-28. Solicito la reversa inmediata y revisión del estado de cuenta.,es,UNDER_25,150133,WEB,,pendiente
COP-2026-0000004,SBS-005678,2026-04-09,DNI,COOPAC,AGENCIA,DEMORA_ATENCION,CRITICAL,"La publicidad de mi cuenta de cooperativa prometía cero comisiones, pero el 2026-04-09 me cobraron S/ 229.90 por mantenimiento. Esto es publicidad engañosa.",es,55_64,070101,WEB,,pendiente
COP-2026-0000005,SBS-005678,2026-04-17,PASAPORTE,CREDITOS,WEB,COBRO_INDEBIDO,HIGH,El cobro de membresía anual en mi crédito por S/ 3376.73 no estaba acordado. Pido la devolución y aclaración de los términos.,es,25_34,150115,AGENCIA,,pendiente
COP-2026-0000006,SBS-005678,2026-03-03,PASAPORTE,TARJETA_DEBITO,CORREO,CALIDAD_SERVICIO,MEDIUM,El 2026-03-03 realicé un retiro por correo electrónico de 244.65 soles y nunca recibí el dinero. COOPAC_DEMO_002 dice que la operación fue exitosa pero no es así.,es,45_54,150115,AGENCIA,,pendiente
COP-2026-0000007,SBS-005678,2026-03-24,CE,TARJETA_DEBITO,APP_MOVIL,CALIDAD_SERVICIO,HIGH,El cobro de membresía anual en mi tarjeta de débito por S/ 168.48 no estaba acordado. Pido la devolución y aclaración de los términos.,es,35_44,150115,CAJERO,,pendiente
COP-2026-0000008,SBS-005678,2026-05-19,DNI,TARJETA_CREDITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,CRITICAL,"La publicidad de mi tarjeta de crédito prometía cero comisiones, pero el 2026-05-19 me cobraron S/ 154.95 por mantenimiento. Esto es publicidad engañosa.",es,25_34,040101,POS,,pendiente
COP-2026-0000009,SBS-005678,2026-04-15,PASAPORTE,TARJETA_CREDITO,APP_MOVIL,COBRO_INDEBIDO,LOW,El cobro de membresía anual en mi tarjeta de crédito por S/ 31.75 no estaba acordado. Pido la devolución y aclaración de los términos.,es,35_44,150133,CAJERO,,pendiente
COP-2026-0000010,SBS-005678,2026-05-09,DNI,DEPOSITOS,APP_MOVIL,COBRO_INDEBIDO,CRITICAL,El día 2026-05-09 intenté realizar una operación de 85.65 soles por la app móvil y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,OVER_64,070101,WEB,,pendiente
COP-2026-0000011,SBS-005678,2026-02-28,PASAPORTE,TARJETA_DEBITO,TELEFONO,OPERACION_NO_RECONOCIDA,LOW,Me cancelaron mi tarjeta de débito sin previo aviso el 2026-02-28. Necesito conocer los motivos y recuperar el saldo de 726.20 soles.,es,45_54,150101,AGENCIA,,pendiente
COP-2026-0000012,SBS-005678,2026-03-24,DNI,TARJETA_CREDITO,WEB,DEMORA_ATENCION,HIGH,Mi reclamo previo no fue atendido por COOPAC_DEMO_002. Solicito una nueva revisión del caso relacionado con mi tarjeta de crédito y el cargo de S/ 820.19.,es,45_54,150111,WEB,,pendiente
COP-2026-0000013,SBS-005678,2026-03-28,CE,DEPOSITOS,APP_MOVIL,COBRO_INDEBIDO,MEDIUM,Mi reclamo previo no fue atendido por COOPAC_DEMO_002. Solicito una nueva revisión del caso relacionado con mi cuenta de depósitos y el cargo de S/ 284.69.,es,35_44,040106,AGENCIA,,pendiente
