complaint_id,institution_id,received_date,complainant_doc_type,product_category,channel,motivo_code,severity,description_text,description_language,complainant_age_range,complainant_district,submission_method,original_reference_id,resolution_status
BCO-2026-0000001,SBS-001234,2026-03-26,PASAPORTE,TARJETA_CREDITO,AGENCIA,OPERACION_NO_RECONOCIDA,HIGH,El 2026-03-26 realicé un retiro por agencia de 419.75 soles y nunca recibí el dinero. BANCO_DEMO_001 dice que la operación fue exitosa pero no es así.,es,UNDER_25,150133,CAJERO,,pendiente
BCO-2026-0000002,SBS-001234,2026-03-28,PASAPORTE,SEGUROS,APP_MOVIL,COBRO_INDEBIDO,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre seguro. Llevo más de 30 días esperando respuesta sobre el cargo de 578.88.,es,35_44,140101,AGENCIA,,pendiente
BCO-2026-0000003,SBS-001234,2026-04-29,CE,CREDITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,CRITICAL,Mi crédito reporta movimientos que yo no he realizado por un total de S/ 589.92. Reporté el caso por la app móvil pero no he recibido respuesta de BANCO_DEMO_001.,es,25_34,150115,CAJERO,,pendiente
BCO-2026-0000004,SBS-001234,2026-04-09,CE,TARJETA_CREDITO,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,HIGH,"La publicidad de mi tarjeta de crédito prometía cero comisiones, pero el 2026-04-09 me cobraron S/ 53.51 por mantenimiento. Esto es publicidad engañosa.",es,55_64,140101,AGENCIA,,pendiente
BCO-2026-0000005,SBS-001234,2026-05-16,RUC,TARJETA_DEBITO,APP_MOVIL,OPERACION_NO_RECONOCIDA,HIGH,Hay una demora excesiva en la atención de mi solicitud sobre tarjeta de débito. Llevo más de 30 días esperando respuesta sobre el cargo de 227.28.,es,55_64,150107,WEB,,pendiente
BCO-2026-0000006,SBS-001234,2026-04-23,DNI,TARJETA_CREDITO,CORREO,DEMORA_ATENCION,CRITICAL,"BANCO_DEMO_001 aplicó intereses no informados a mi tarjeta de crédito, lo que sumó S/ 487.92 adicionales en el último estado de cuenta del 2026-04-23.",es,25_34,040106,WEB,,pendiente
BCO-2026-0000007,SBS-001234,2026-04-12,PASAPORTE,TARJETA_DEBITO,WEB,DEMORA_ATENCION,MEDIUM,Realicé una transferencia por la web el 2026-04-12 por S/ 980.38. El dinero salió de mi cuenta pero no llegó al destinatario.,es,45_54,150133,WEB,,pendiente
BCO-2026-0000008,SBS-001234,2026-02-23,CE,DEPOSITOS,APP_MOVIL,INCUMPLIMIENTO_CONTRATO,MEDIUM,Se realizó un cargo no autorizado por S/ 52.11 en mi cuenta de depósitos el 2026-02-23. Solicito la reversa inmediata y revisión del estado de cuenta.,es,35_44,040101,POS,,pendiente
BCO-2026-0000009,SBS-001234,2026-03-05,DNI,DEPOSITOS,TELEFONO,INCUMPLIMIENTO_CONTRATO,LOW,Me cancelaron mi cuenta de depósitos sin previo aviso el 2026-03-05. Necesito conocer los motivos y recuperar el saldo de 603.06 soles.,es,25_34,150133,AGENCIA,,pendiente
BCO-2026-0000010,SBS-001234,2026-02-24,DNI,COOPAC,AGENCIA,INCUMPLIMIENTO_CONTRATO,HIGH,Se realizó un cargo no autorizado por S/ 33.35 en mi cuenta de cooperativa el 2026-02-24. Solicito la reversa inmediata y revisión del estado de cuenta.,es,45_54,070101,APP_MOVIL,,pendiente
BCO-2026-0000011,SBS-001234,2026-05-01,PASAPORTE,TARJETA_CREDITO,APP_MOVIL,CALIDAD_SERVICIO,CRITICAL,"La publicidad de mi tarjeta de crédito prometía cero comisiones, pero el 2026-05-01 me cobraron S/ 1112.46 por mantenimiento. Esto es publicidad engañosa.",es,55_64,150102,CAJERO,,pendiente
BCO-2026-0000012,SBS-001234,2026-03-10,RUC,TARJETA_DEBITO,AGENCIA,OPERACION_NO_RECONOCIDA,HIGH,"BANCO_DEMO_001 aplicó intereses no informados a mi tarjeta de débito, lo que sumó S/ 167.74 adicionales en el último estado de cuenta del 2026-03-10.",es,55_64,150102,POS,,pendiente
